ID Anggota;Tipe Keanggotaan;Kode Eksemplar;Judul;Kode Klasifikasi;Nama Klasifikasi;Tanggal Pinjam;Tanggal Kembali;Status peminjaman;Bulan Peminjaman
2003010043;FKIP;1175,3,1;PENGANTAR SEMANTIK BAHASA INDONESIA;400;Bahasa;2024-01-23;2024-01-30;Telah Kembali;Januari
2003010043;FKIP;23190;Semantik leksikal;410;Bahasa;2024-01-23;2024-01-30;Telah Kembali;Januari
2003010043;FKIP;21039;Dasar-dasar ilmu semantik;401;Bahasa;2024-01-23;2024-01-30;Telah Kembali;Januari
2203030035;FKIP;SM,035,;micro teaching disertai dengan pedoman pengalaman lapangan;371;Ilmu-ilmu sosial;2024-01-18;2024-01-25;Telah Kembali;Januari
2203030035;FKIP;44624;Micro Teaching;371;Ilmu-ilmu sosial;2024-01-18;2024-01-25;Telah Kembali;Januari
2003010067;FKIP;17290;Teori kesusastraan;810;Kesusastraan;2024-01-16;2024-01-23;Telah Kembali;Januari
2003010067;FKIP;20232;Sastra kita, kritik, dan lokalitas;810;Kesusastraan;2024-01-16;2024-01-23;Telah Kembali;Januari
2003010067;FKIP;1650,1;Pengantar kajian sastra;800;Kesusastraan;2024-01-16;2024-01-23;Telah Kembali;Januari
2003010058;FKIP;50713;Pendidikan karakter konsep dan implementasi;370;Ilmu-ilmu sosial;2024-01-16;2024-01-23;Telah Kembali;Januari
2003010058;FKIP;31179;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-16;2024-01-23;Telah Kembali;Januari
2003010058;FKIP;30019;metodologi penelitian sastra;1;Karya umum;2024-01-16;2024-01-23;Telah Kembali;Januari
190388201084;FKIP;20377;METODE PEMBELAJARAN DRAMA;807;Kesusastraan;2024-01-16;2024-01-23;Telah Kembali;Januari
190388201084;FKIP;19700;DRAMA KARYA DALAM DUA DIMENSI;808;Kesusastraan;2024-01-16;2024-01-23;Telah Kembali;Januari
190388201084;FKIP;1650,2;Pengantar kajian sastra;800;Kesusastraan;2024-01-16;2024-01-23;Telah Kembali;Januari
2003010043;FKIP;24070;Semantik leksikal;410;Bahasa;2024-01-12;2024-01-19;Telah Kembali;Januari
180388201062;FKIP;32428;Jenis Kalimat Dalam Bahasa Indonesia;410;Bahasa;2024-01-11;2024-01-18;Telah Kembali;Januari
180388201062;FKIP;18451;Argumentasi dan Narasi;410;Bahasa;2024-01-11;2024-01-18;Telah Kembali;Januari
180388201062;FKIP;45349;JENIS-JENIS TEKS;499221;Bahasa;2024-01-11;2024-01-18;Telah Kembali;Januari
2003010043;FKIP;1175,3,1;PENGANTAR SEMANTIK BAHASA INDONESIA;400;Bahasa;2024-01-11;2024-01-18;Telah Kembali;Januari
2003010043;FKIP;32777;PENGANTAR SEMANTIK BAHASA INDONESIA;400;Bahasa;2024-01-11;2024-01-18;Telah Kembali;Januari
2003010043;FKIP;19554;SEMANTIK 2;401;Bahasa;2024-01-11;2024-01-18;Telah Kembali;Januari
2003010046;FKIP;33570;Media pembelajaran;371;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Telah Kembali;Januari
2003010046;FKIP;19987;MEDIA PEMBELAJARAN;371;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Telah Kembali;Januari
2003010046;FKIP;49851;Media pembelajaran digital;371;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Telah Kembali;Januari
2003010035;FKIP;48780;Media konvensional dan media online;302;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Telah Kembali;Januari
2003010035;FKIP;49059;Belajar & pembelajaran pada bidang teknologi informasi;372;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Telah Kembali;Januari
190384205034;FKIP;46667;Metode Penelitian Kuantitatif;1;Karya umum;2024-01-11;2024-01-18;Telah Kembali;Januari
2003010071;FKIP;37873;68 MODEL PEMBELAJARAN INOVATIF DALAM KURIKULUM 2013;370;Ilmu-ilmu sosial;2024-01-10;2024-01-17;Telah Kembali;Januari
2003010057;FKIP;45290;ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA;401;Bahasa;2024-01-10;2024-01-17;Telah Kembali;Januari
2003010057;FKIP;45437;Analisis Wacana: Teori, Metode, & Penerapannya;401;Bahasa;2024-01-10;2024-01-17;Telah Kembali;Januari
2003010057;FKIP;32167;ANALISIS TEKS MEDIA;401;Bahasa;2024-01-10;2024-01-17;Telah Kembali;Januari
2003010059;FKIP;1960,1;Ilmu sosial budaya dasar;300;Ilmu-ilmu sosial;2024-01-09;2024-01-16;Telah Kembali;Januari
2003010059;FKIP;37370;Culture studi kebudayaan;306;Ilmu-ilmu sosial;2024-01-09;2024-01-16;Telah Kembali;Januari
2003010059;FKIP;39269;Teori-teori kebudayaan dari teori hingga aplikasi;306;Ilmu-ilmu sosial;2024-01-09;2024-01-16;Telah Kembali;Januari
2003020015;FKIP;17558;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-09;2024-01-16;Telah Kembali;Januari
190388201075;FKIP;M220,1;Metode penelitian bahasa;407;Bahasa;2024-01-09;2024-01-11;Telah Kembali;Januari
190388201075;FKIP;48188;METODOLOGI PENELITIAN KUALITATIF;1;Karya umum;2024-01-09;2024-01-11;Telah Kembali;Januari
2003010058;FKIP;50713;Pendidikan karakter konsep dan implementasi;370;Ilmu-ilmu sosial;2024-01-09;2024-01-16;Telah Kembali;Januari
190384202034;FKIP;24440;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-09;2024-01-16;Telah Kembali;Januari
190384202034;FKIP;45313;Metode penelitian kuantitatif kualitatif dan R&D Best seller;1;Karya umum;2024-01-09;2024-01-16;Telah Kembali;Januari
2003010028;FKIP;32919;Pendidikan karakter;372;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010028;FKIP;48515;Pendidikan karakter dalam sastra indonesia;370114;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010028;FKIP;21522;PENDIDIKAN KARAKTER;370;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010037;FKIP;35354;Statistika untuk penelitian;310;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010037;FKIP;32535;Model-model pembelajaran inovatif;371;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003050052;FKIP;49238;Analisis wacana kajian teoritis dan praktis ed,2;401;Bahasa;2024-01-08;2024-01-15;Telah Kembali;Januari
2003050052;FKIP;45407;Critical Discourse Analysis (Analisis Wacana Kritis) : Landasan Teori, Metodologi dan Penerapan;401;Bahasa;2024-01-08;2024-01-15;Telah Kembali;Januari
2003050052;FKIP;545,01;PENDIDIKAN KARAKTER BERBASIS AGAMA & BUDAYA;371;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003020002;FKIP;707APBN3,9;Pengantar sosiolinguistik;306;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003020002;FKIP;143PB3,1;Sosiolinguistik perkenalan awal;306;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
160388201044;FKIP;30016;Pengantar ilmu antropologi;301;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010032;FKIP;21936;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010032;FKIP;20558;Metodologi penelitian kualitatif;1;Karya umum;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010032;FKIP;30079;Prinsip-prinsip pragmatik;114;Filsafat;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010044;FKIP;49509;Panduan lengkap SPSS 26;310;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010044;FKIP;33609;Prosedur penelitian suatu pendekatan praktik;1;Karya umum;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010044;FKIP;20317;Tes bahasa;59;Karya umum;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010045;FKIP;45445;Model-model pembelajaran;371;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010045;FKIP;18687;Menjelajah pembelajaran inovatif;371;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
2003010045;FKIP;20552;Model-model pembelajaran;371;Ilmu-ilmu sosial;2024-01-08;2024-01-15;Telah Kembali;Januari
190384205053;FKIP;25250;Biologi reproduksi;570;Ilmu-ilmu murni;2024-01-05;2024-01-12;Telah Kembali;Januari
160388201027;FKIP;20559;Metodologi penelitian kualitatif;1;Karya umum;2024-01-05;2024-01-12;Telah Kembali;Januari
160388201027;FKIP;m220,1;Metode penelitian bahasa;407;Bahasa;2024-01-05;2024-01-12;Telah Kembali;Januari
160388201027;FKIP;19541;PENGANTAR APRESIASI KARYA SASTRA;810;Kesusastraan;2024-01-05;2024-01-12;Telah Kembali;Januari
160388201073;FKIP;142PB3,1;SOSIOLINGUISTIK;306;Ilmu-ilmu sosial;2024-01-04;2024-01-11;Telah Kembali;Januari
160388201073;FKIP;1730,2;SOSIOLINGUISTIK;306;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010058;FKIP;30019;metodologi penelitian sastra;1;Karya umum;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010058;FKIP;31179;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010026;FKIP;33596;Media pembelajaran;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010026;FKIP;37366;Penelitian pendidikan;1;Karya umum;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010001;FKIP;45344;Media dan teknologi dalam pembelajaran;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010001;FKIP;23132;Media pembelajaran;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010001;FKIP;31992;Media instruksional edukatif;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010002;FKIP;1777,1;Metode & model- model pembelajaran;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010002;FKIP;37506;68 MODEL PEMBELAJARAN INOVATIF DALAM KURIKULUM 2013;370;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010002;FKIP;48691;Model pembelajaran kooperatif implementasi di sd;371;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Telah Kembali;Januari
2003010073;FKIP;30116;Prinsip-prinsip pragmatik;114;Filsafat;2024-01-02;2024-01-09;Telah Kembali;Januari
2003010073;FKIP;20380;PRAGMATIK;400;Bahasa;2024-01-02;2024-01-09;Telah Kembali;Januari
2003010073;FKIP;13,128,;Pragmatik kesantunana imperatif bahasa indonesia;410;Bahasa;2024-01-02;2024-01-09;Telah Kembali;Januari
2003010057;FKIP;45290;ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA;401;Bahasa;2024-01-02;2024-01-09;Telah Kembali;Januari
2003010057;FKIP;32167;ANALISIS TEKS MEDIA;401;Bahasa;2024-01-02;2024-01-09;Telah Kembali;Januari
2003010057;FKIP;45437;Analisis Wacana: Teori, Metode, & Penerapannya;401;Bahasa;2024-01-02;2024-01-09;Telah Kembali;Januari
2004020018;FEBM;45357;Manajemen Sumber Daya Manusia;658;Ilmu-ilmu terapan;2024-01-30;2024-02-06;Telah Kembali;Januari
2004020018;FEBM;46798;Manajemen sumber daya manusia suatu pendekatan fungsional teoritis dan aplikatif;658;Ilmu-ilmu terapan;2024-01-30;2024-02-06;Telah Kembali;Januari
190462201050;FEBM;39052;Analisis Laporan Keuangan;657;Ilmu-ilmu terapan;2024-01-22;2024-01-29;Telah Kembali;Januari
2004020007;FEBM;49435;Metodologi penelitian kualitatif membantu peneliti dan mahasiswa;1;Karya umum;2024-01-18;2024-01-25;Telah Kembali;Januari
2004020007;FEBM;49669;Metode penelitian kuantitatif dan kualitatif teori, penerapan dan riset nyata;1;Karya umum;2024-01-18;2024-01-25;Telah Kembali;Januari
2004020007;FEBM;40743;"METODOLOGI PENELITIAN KUALITATIF Untuk Ilmu-Ilmu Sosial";650;Ilmu-ilmu terapan;2024-01-18;2024-01-25;Telah Kembali;Januari
2004020011;FEBM;20225;Metode penelitian kuantitatif;1;Karya umum;2024-01-18;2024-01-25;Telah Kembali;Januari
2004020011;FEBM;48890;Metodologi penelitian bisnis dilengkapi contoh hasil-hasil penelitian;1;Karya umum;2024-01-18;2024-01-25;Telah Kembali;Januari
2004020003;FEBM;46784;Metodologi Penelitian Kuantitatif : Ekonomi, Sosiologi, Komunikasi, Administrasi, Pertanian dan Lainnya;1;Karya umum;2024-01-15;2024-01-22;Telah Kembali;Januari
2005030002;FISIP;20557;Metodologi penelitian kualitatif;1;Karya umum;2024-01-30;2024-02-06;Telah Kembali;Januari
2005030002;FISIP;48191;METODOLOGI PENELITIAN KUALITATIF;1;Karya umum;2024-01-30;2024-02-06;Telah Kembali;Januari
2005030002;FISIP;42027;Teori sosiologi modern Edisi Keenam;301;Ilmu-ilmu sosial;2024-01-30;2024-02-06;Telah Kembali;Januari
2005020013;FISIP;45435;Metode Penelitian Kuantitatif : Pengembangan Hipotesis dan Pengujiannya Menggunakan SmartPLS;1;Karya umum;2024-01-17;2024-01-24;Telah Kembali;Januari
2005020013;FISIP;25307;Partial least square (PLS);1;Karya umum;2024-01-17;2024-01-24;Telah Kembali;Januari
2305020059;FISIP;48274;Seikatsu Kaize Reformasi pola hidup jepang: panduan menjadi masyarakat unggul dan modern;952;Geografi dan sejarah;2024-01-16;2024-01-23;Telah Kembali;Januari
190574201041;FISIP;15,309,2;Hukum Perlindungan Konsumen;340;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Telah Kembali;Januari
190574201041;FISIP;15,112,1;HUKUM PERLINDUNGAN KONSUMEN;340;Ilmu-ilmu sosial;2024-01-11;2024-01-18;Telah Kembali;Januari
190569201093;FISIP;467sm3;Metode penelitian pendidikan;370;Ilmu-ilmu sosial;2024-01-09;2024-01-16;Telah Kembali;Januari
2005050014;FISIP;42606;OTONOMI DAERAH & DAERAH OTONOM;360;Ilmu-ilmu sosial;2024-01-05;2024-01-12;Telah Kembali;Januari
2005050035;FISIP;42707;OTONOMI DAERAH & DAERAH OTONOM;360;Ilmu-ilmu sosial;2024-01-05;2024-01-12;Telah Kembali;Januari
2005030013;FISIP;46644;Pemberdayaan masyarakat di era global;303;Ilmu-ilmu sosial;2024-01-05;2024-01-12;Telah Kembali;Januari
2005030013;FISIP;24821;MODAL SOSIAL & PEMBANGUNAN WILAYAH;300;Ilmu-ilmu sosial;2024-01-05;2024-01-12;Telah Kembali;Januari
2005030013;FISIP;50790;Pembangunan sosial teori & praktik;300;Ilmu-ilmu sosial;2024-01-05;2024-01-12;Telah Kembali;Januari
190569201041;FISIP;23054;ENSIKLOPEDI SUKU BANGSA DI INDONESIA;306;Ilmu-ilmu sosial;2024-01-03;2024-01-10;Telah Kembali;Januari
198710182022032000;DOSEN;31300;MENULIS ARTIKEL&KARYA ILMIAH;1;Karya Umum;2024-01-22;2024-09-13;Telah Kembali;Januari
198710182022032000;DOSEN;26597;Membuat skripsi, tesis, dan disertasi dengan partial least square SEM (PLS-SEM);1;Karya umum;2024-01-22;2024-09-13;Telah Kembali;Januari
198710182022032000;DOSEN;28255;Bimbingan menulis skripsi thesis;1;Karya umum;2024-01-22;2024-09-13;Telah Kembali;Januari
198710182022032000;DOSEN;31378;Dasar-Dasar Metodologi Penelitian;1;Karya umum;2024-01-22;2024-09-13;Telah Kembali;Januari
198710182022032000;DOSEN;1860,3;Metodologi penelitian bisnis & ekonomi;1;Karya umum;2024-01-22;2024-09-13;Telah Kembali;Januari
190120201058;FTTK;21936;Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;2024-02-23;2024-03-01;Telah Kembali;Februari
2102040020;FIKP;49780;Pulang pergi;813;Kesusastraan;2024-02-27;2024-03-05;Telah Kembali;Februari
2303010083;FKIP;24150;PENGAJARAN MORFOLOGI;571;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303070087;FKIP;19392;PENGAJARAN MORFOLOGI;571;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303070090;FKIP;32475;PENGAJARAN MORFOLOGI;571;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2203020066;FKIP;45430;Evaluasi Pembelajaran;371;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Telah Kembali;Februari
2203020066;FKIP;17618;EVALUASI PEMBELAJARAN;371;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Telah Kembali;Februari
2203020068;FKIP;42026;Evaluasi pembelajaran;371;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Telah Kembali;Februari
2203020068;FKIP;p096;Psikologi Pendidikan;370;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Telah Kembali;Februari
2203020068;FKIP;530,11;Dasar-Dasar Evaluasi Pendidikan;370;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Telah Kembali;Februari
2303040017;FKIP;30409;Perang siasat kimia praktis;523;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303040017;FKIP;21474;Kimia lingkungan;540;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020019;FKIP;1769,1;Pedoman kata baku & tidak baku;400;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020017;FKIP;50413;EYD & SEPUTAR KEBAHASAAN-INDONESIA;400;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020024;FKIP;1769,3;Pedoman kata baku & tidak baku;400;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020024;FKIP;28055;MATEMATIKA DASAR PERGURUAN TINGGI;510;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020020;FKIP;E205;EYD ejaan yang disempurnakan & seputar kebahasa-indonesiaan;400;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010046;FKIP;20380;PRAGMATIK;400;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010046;FKIP;20701;Psikolinguistik;402;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010046;FKIP;30040;Pengajaran semantik;401;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010048;FKIP;41056;Dasar-dasar ilmu semantik;401;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010048;FKIP;529,6;Psikolinguistik;402;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010048;FKIP;32151;Pengantar statistik pendidikan;310;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010013;FKIP;31553;Pengajaran semantik;401;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010013;FKIP;p202;Psikolinguistik kajian teoretik;402;Bahasa;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010013;FKIP;29405;Pengantar statistik pendidikan;310;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Telah Kembali;Februari
2303030010;FKIP;36224;BIOLOGI JILID 1;570;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303030014;FKIP;35996;BIOLOGI JILID 1;570;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010015;FKIP;2859,1;Statistik pendidikan;370;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010015;FKIP;585,1;Pengantar statistik pendidikan;310;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Telah Kembali;Februari
2003020009;FKIP;42426;Quantum learning;370;Ilmu-ilmu sosial;2024-02-29;2024-03-07;Telah Kembali;Februari
2003020009;FKIP;48190;METODOLOGI PENELITIAN KUALITATIF;1;Karya umum;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020048;FKIP;41054;Cliffs quick review aljabar I;512;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020048;FKIP;49939;Love yourself menjadi biasa-biasa itu tidak apa-apa;813;Kesusastraan;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020035;FKIP;40711;Cliffs quick review aljabar I;512;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020035;FKIP;44278;Aljabar dan Kalkulus;512;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020040;FKIP;28063;Cliffs quick review aljabar I;512;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020040;FKIP;40298;Pengantar statistika;520;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020047;FKIP;40399;Cliffs quick review aljabar I;512;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2303020047;FKIP;47484;Geometri analitik;516;Ilmu-ilmu murni;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010041;FKIP;43710;STATISTIK TEORI DAN APLIKASI JILID 1 EDISI KELIMA;1;Karya umum;2024-02-29;2024-03-07;Telah Kembali;Februari
2203010021;FKIP;19715;Ilmu statistika;1;Karya umum;2024-02-29;2024-03-07;Telah Kembali;Februari
2303080095;FKIP;49999;Trik no,1 otodidak pintar percakapan bahasa inggris;422;Bahasa;2024-02-28;2024-03-06;Telah Kembali;Februari
2303080095;FKIP;40297;Cliffs toefl preparation guide;425;Bahasa;2024-02-28;2024-03-06;Telah Kembali;Februari
2103020029;FKIP;18387;Manajemen pendidikan;372;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
2103020029;FKIP;18388;Manajemen pendidikan;372;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
2103020029;FKIP;18392;Manajemen pendidikan;372;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
2103020029;FKIP;18386;Manajemen pendidikan;372;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
2103020029;FKIP;49991;Etika itu keren membudayakan etika dalam profesi;170;Filsafat;2024-02-28;2024-03-06;Telah Kembali;Februari
2103020029;FKIP;48115;Etika politik prinsip moral dasar kenegaraan modern;172;Filsafat;2024-02-28;2024-03-06;Telah Kembali;Februari
2103020029;FKIP;44310;Panduan Komplet Menulis Kreatif;808;Kesusastraan;2024-02-28;2024-03-06;Telah Kembali;Februari
2103020029;FKIP;46781;Alquran dan sains;297;Agama;2024-02-28;2024-03-06;Telah Kembali;Februari
2203010027;FKIP;31716;Statistika untuk penelitian;519;Ilmu-ilmu murni;2024-02-28;2024-03-06;Telah Kembali;Februari
2203010027;FKIP;20643;Pengantar statistika;520;Ilmu-ilmu murni;2024-02-28;2024-03-06;Telah Kembali;Februari
2203010027;FKIP;20019;Pengantar statistika;520;Ilmu-ilmu murni;2024-02-28;2024-03-06;Telah Kembali;Februari
2203010027;FKIP;1080,3,3;Statistik Jilid 1;520;Ilmu-ilmu murni;2024-02-28;2024-03-06;Telah Kembali;Februari
2003010050;FKIP;37472;TEORI DAN PRATIK PENELITIAN KUANTITATIF KUALITATIF;1;Karya umum;2024-02-28;2024-03-06;Telah Kembali;Februari
2003010050;FKIP;33597;Media pembelajaran;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
2003010050;FKIP;49059;Belajar & pembelajaran pada bidang teknologi informasi;372;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
190384205040;FKIP;49778;Pulang pergi;813;Kesusastraan;2024-02-28;2024-03-06;Telah Kembali;Februari
190384205040;FKIP;33565;Media pembelajaran;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
190384205040;FKIP;46674;Metode penelitian & pengembangan research and development untuk bidang pendidikan, manajemen, sosial, teknik;1;Karya umum;2024-02-28;2024-03-06;Telah Kembali;Februari
2203030039;FKIP;44875;Dasar-Dasar Dan Perancangan Evaluasi Pembelajaran;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
2203030039;FKIP;47710;Dasar-dasar perancangan dan evaluasi pembelajaran ed,2;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
2203030039;FKIP;47699;Evaluasi dan asesmen pembelajaran;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
2203030039;FKIP;33675;Instrumen perangkat pembelajaran;371;Ilmu-ilmu sosial;2024-02-28;2024-03-06;Telah Kembali;Februari
2203020032;FKIP;43586;Menulis Artikel Ilmiah Yang Komunikatif : Strategi Menebus Jurnal Akademik Bereputasi;808;Kesusastraan;2024-02-28;2024-03-06;Telah Kembali;Februari
2203010007;FKIP;30775;Dasar-Dasar Statistika;310;Ilmu-ilmu sosial;2024-02-27;2024-03-05;Telah Kembali;Februari
