Judul;Kode Eksemplar;Jumlah Buku yang dipinjam;Frekuensi Peminjaman
ANALISIS TEKS MEDIA;32167;2;Jarang dipinjam
Ilmu sosial budaya dasar;1960,1;1;Jarang dipinjam
Culture studi kebudayaan;37370;1;Jarang dipinjam
Teori-teori kebudayaan dari teori hingga aplikasi;39269;2;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;17558;8;Sering dipinjam
Metode penelitian bahasa;M220,1;3;Sering dipinjam
METODOLOGI PENELITIAN KUALITATIF;48188;5;Sering dipinjam
Pendidikan karakter konsep dan implementasi;50713;6;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;24440;3;Sering dipinjam
Metode penelitian kuantitatif kualitatif dan R&D Best seller;45313;5;Sering dipinjam
Pendidikan karakter;32919;1;Jarang dipinjam
Pendidikan karakter dalam sastra indonesia;48515;4;Sering dipinjam
PENDIDIKAN KARAKTER;21522;1;Jarang dipinjam
Statistika untuk penelitian;35354;1;Jarang dipinjam
Model-model pembelajaran inovatif;32535;6;Sering dipinjam
Analisis wacana kajian teoritis dan praktis ed,2;49238;2;Jarang dipinjam
Critical Discourse Analysis (Analisis Wacana Kritis) : Landasan Teori, Metodologi dan Penerapan;45407;2;Jarang dipinjam
PENDIDIKAN KARAKTER BERBASIS AGAMA & BUDAYA;545,01;1;Jarang dipinjam
Pengantar sosiolinguistik;707APBN3,9;1;Jarang dipinjam
Sosiolinguistik perkenalan awal;143PB3,1;1;Jarang dipinjam
Pengantar ilmu antropologi;30016;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;21936;6;Sering dipinjam
Metodologi penelitian kualitatif;20558;2;Jarang dipinjam
Prinsip-prinsip pragmatik;30079;1;Jarang dipinjam
Panduan lengkap SPSS 26;49509;1;Jarang dipinjam
Prosedur penelitian suatu pendekatan praktik;33609;2;Jarang dipinjam
Tes bahasa;20317;1;Jarang dipinjam
Model-model pembelajaran;45445;1;Jarang dipinjam
Menjelajah pembelajaran inovatif;18687;1;Jarang dipinjam
Model-model pembelajaran;20552;1;Jarang dipinjam
Biologi reproduksi;25250;1;Jarang dipinjam
Metodologi penelitian kualitatif;20559;3;Sering dipinjam
Metode penelitian bahasa;m220,1;3;Sering dipinjam
PENGANTAR APRESIASI KARYA SASTRA;19541;1;Jarang dipinjam
SOSIOLINGUISTIK;142PB3,1;1;Jarang dipinjam
SOSIOLINGUISTIK;1730,2;1;Jarang dipinjam
metodologi penelitian sastra;30019;6;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;31179;8;Sering dipinjam
Media pembelajaran;33596;3;Sering dipinjam
Penelitian pendidikan;37366;2;Jarang dipinjam
Media dan teknologi dalam pembelajaran;45344;1;Jarang dipinjam
Media pembelajaran;23132;4;Sering dipinjam
Media instruksional edukatif;31992;1;Jarang dipinjam
Metode & model- model pembelajaran;1777,1;1;Jarang dipinjam
68 MODEL PEMBELAJARAN INOVATIF DALAM KURIKULUM 2013;37506;2;Jarang dipinjam
Model pembelajaran kooperatif implementasi di sd;48691;1;Jarang dipinjam
Prinsip-prinsip pragmatik;30116;1;Jarang dipinjam
PRAGMATIK;20380;3;Sering dipinjam
Pragmatik kesantunana imperatif bahasa indonesia;13,128,;1;Jarang dipinjam
ANALISIS WACANA PENGANTAR ANALISIS TEKS MEDIA;45290;5;Sering dipinjam
ANALISIS TEKS MEDIA;32167;2;Jarang dipinjam
Analisis Wacana: Teori, Metode, & Penerapannya;45437;2;Jarang dipinjam
Manajemen Sumber Daya Manusia;45357;1;Jarang dipinjam
Manajemen sumber daya manusia suatu pendekatan fungsional teoritis dan aplikatif;46798;1;Jarang dipinjam
Analisis Laporan Keuangan;39052;1;Jarang dipinjam
Metodologi penelitian kualitatif membantu peneliti dan mahasiswa;49435;2;Jarang dipinjam
Metode penelitian kuantitatif dan kualitatif teori, penerapan dan riset nyata;49669;6;Sering dipinjam
"METODOLOGI PENELITIAN KUALITATIF Untuk
Ilmu-Ilmu Sosial";40743;2;Jarang dipinjam
Metode penelitian kuantitatif;20225;6;Sering dipinjam
Metodologi penelitian bisnis dilengkapi contoh hasil-hasil penelitian;48890;1;Jarang dipinjam
Metodologi Penelitian Kuantitatif : Ekonomi, Sosiologi, Komunikasi, Administrasi, Pertanian dan Lainnya;46784;1;Jarang dipinjam
Metodologi penelitian kualitatif;20557;2;Jarang dipinjam
METODOLOGI PENELITIAN KUALITATIF;48191;7;Sering dipinjam
Teori sosiologi modern Edisi Keenam;42027;2;Jarang dipinjam
Metode Penelitian Kuantitatif : Pengembangan Hipotesis dan Pengujiannya Menggunakan SmartPLS;45435;2;Jarang dipinjam
Partial least square (PLS);25307;1;Jarang dipinjam
Seikatsu Kaize Reformasi pola hidup jepang: panduan menjadi masyarakat unggul dan modern;48274;1;Jarang dipinjam
Hukum Perlindungan Konsumen;15,309,2;1;Jarang dipinjam
HUKUM PERLINDUNGAN KONSUMEN;15,112,1;1;Jarang dipinjam
Metode penelitian pendidikan;467sm3;2;Jarang dipinjam
OTONOMI DAERAH & DAERAH OTONOM;42606;1;Jarang dipinjam
OTONOMI DAERAH & DAERAH OTONOM;42707;1;Jarang dipinjam
Pemberdayaan masyarakat di era global;46644;1;Jarang dipinjam
MODAL SOSIAL & PEMBANGUNAN WILAYAH;24821;1;Jarang dipinjam
Pembangunan sosial teori & praktik;50790;1;Jarang dipinjam
ENSIKLOPEDI SUKU BANGSA DI INDONESIA;23054;1;Jarang dipinjam
MENULIS ARTIKEL&KARYA ILMIAH;31300;1;Jarang dipinjam
Membuat skripsi, tesis, dan disertasi dengan partial least square SEM (PLS-SEM);26597;1;Jarang dipinjam
Bimbingan menulis skripsi thesis;28255;1;Jarang dipinjam
Dasar-Dasar Metodologi Penelitian;31378;1;Jarang dipinjam
Metodologi penelitian bisnis & ekonomi;1860,3;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;21936;6;Sering dipinjam
Pulang pergi;49780;2;Jarang dipinjam
PENGAJARAN MORFOLOGI;24150;1;Jarang dipinjam
PENGAJARAN MORFOLOGI;19392;2;Jarang dipinjam
PENGAJARAN MORFOLOGI;32475;1;Jarang dipinjam
Evaluasi Pembelajaran;45430;2;Jarang dipinjam
EVALUASI PEMBELAJARAN;17618;5;Sering dipinjam
Evaluasi pembelajaran;42026;2;Jarang dipinjam
Psikologi Pendidikan;p096;1;Jarang dipinjam
Dasar-Dasar Evaluasi Pendidikan;530,11;1;Jarang dipinjam
Perang siasat kimia praktis;30409;2;Jarang dipinjam
Kimia lingkungan;21474;2;Jarang dipinjam
Pedoman kata baku & tidak baku;1769,1;1;Jarang dipinjam
EYD & SEPUTAR KEBAHASAAN-INDONESIA;50413;2;Jarang dipinjam
Pedoman kata baku & tidak baku;1769,3;1;Jarang dipinjam
MATEMATIKA DASAR PERGURUAN TINGGI;28055;1;Jarang dipinjam
EYD ejaan yang disempurnakan & seputar kebahasa-indonesiaan;E205;1;Jarang dipinjam
PRAGMATIK;20380;3;Sering dipinjam
Psikolinguistik;20701;2;Jarang dipinjam
Pengajaran semantik;30040;2;Jarang dipinjam
Dasar-dasar ilmu semantik;41056;3;Sering dipinjam
Psikolinguistik;529,6;2;Jarang dipinjam
Pengantar statistik pendidikan;32151;3;Sering dipinjam
Pengajaran semantik;31553;2;Jarang dipinjam
Psikolinguistik kajian teoretik;p202;1;Jarang dipinjam
Pengantar statistik pendidikan;29405;2;Jarang dipinjam
BIOLOGI JILID 1;36224;1;Jarang dipinjam
BIOLOGI JILID 1;35996;1;Jarang dipinjam
Statistik pendidikan;2859,1;2;Jarang dipinjam
Pengantar statistik pendidikan;585,1;1;Jarang dipinjam
Quantum learning;42426;3;Sering dipinjam
METODOLOGI PENELITIAN KUALITATIF;48190;5;Sering dipinjam
Cliffs quick review aljabar I;41054;1;Jarang dipinjam
Love yourself menjadi biasa-biasa itu tidak apa-apa;49939;3;Sering dipinjam
Cliffs quick review aljabar I;40711;1;Jarang dipinjam
Aljabar dan Kalkulus;44278;4;Sering dipinjam
Cliffs quick review aljabar I;28063;1;Jarang dipinjam
Pengantar statistika;40298;1;Jarang dipinjam
Cliffs quick review aljabar I;40399;1;Jarang dipinjam
Geometri analitik;47484;4;Sering dipinjam
STATISTIK TEORI DAN APLIKASI JILID 1 EDISI KELIMA;43710;1;Jarang dipinjam
Ilmu statistika;19715;1;Jarang dipinjam
Trik no,1 otodidak pintar percakapan bahasa inggris;49999;2;Jarang dipinjam
Cliffs toefl preparation guide;40297;2;Jarang dipinjam
Manajemen pendidikan;18387;1;Jarang dipinjam
Manajemen pendidikan;18388;2;Jarang dipinjam
Manajemen pendidikan;18392;2;Jarang dipinjam
Manajemen pendidikan;18386;2;Jarang dipinjam
Etika itu keren membudayakan etika dalam profesi;49991;1;Jarang dipinjam
Etika politik prinsip moral dasar kenegaraan modern;48115;1;Jarang dipinjam
Panduan Komplet Menulis Kreatif;44310;1;Jarang dipinjam
Alquran dan sains;46781;1;Jarang dipinjam
Statistika untuk penelitian;31716;2;Jarang dipinjam
Pengantar statistika;20643;1;Jarang dipinjam
Pengantar statistika;20019;1;Jarang dipinjam
Statistik Jilid 1;1080,3,3;1;Jarang dipinjam
TEORI DAN PRATIK PENELITIAN KUANTITATIF KUALITATIF;37472;2;Jarang dipinjam
Media pembelajaran;33597;3;Sering dipinjam
Belajar & pembelajaran pada bidang teknologi informasi;49059;3;Sering dipinjam
Pulang pergi;49778;4;Sering dipinjam
Media pembelajaran;33565;3;Sering dipinjam
Metode penelitian & pengembangan research and development untuk bidang pendidikan, manajemen, sosial, teknik;46674;5;Sering dipinjam
Dasar-Dasar Dan Perancangan Evaluasi Pembelajaran;44875;1;Jarang dipinjam
Dasar-dasar perancangan dan evaluasi pembelajaran ed,2;47710;1;Jarang dipinjam
Evaluasi dan asesmen pembelajaran;47699;4;Sering dipinjam
Instrumen perangkat pembelajaran;33675;1;Jarang dipinjam
Menulis Artikel Ilmiah Yang Komunikatif : Strategi Menebus Jurnal Akademik Bereputasi;43586;1;Jarang dipinjam
Dasar-Dasar Statistika;30775;1;Jarang dipinjam
Pengantar statistika;41974;1;Jarang dipinjam
Dasar-Dasar Statistika;30781;1;Jarang dipinjam
Pengantar statistika;33408;1;Jarang dipinjam
MEMBACA SEBAGAI SUATU KETERAMPILAN BERBAHASA;50332;1;Jarang dipinjam
Pengantar statistika;20936;3;Sering dipinjam
Dasar-Dasar Statistika;30764;3;Sering dipinjam
Pengantar statistika;2344,5;1;Jarang dipinjam
MEMBACA SEBAGAI SUATU KETERAMPILAN BERBAHASA;21003;2;Jarang dipinjam
Psikolinguistik kajian teoretik;19627;1;Jarang dipinjam
Metode penelitian bahasa;M220,1;3;Sering dipinjam
METODOLOGI PENELITIAN KUALITATIF;48191;7;Sering dipinjam
Ilmu Jalanan : ilmu kesuksesan yang tidak ada di kurikulum dan buku pelajaran;45461;1;Jarang dipinjam
metodologi penelitian sastra Epistemologi, model, teori dan aplikasi;19720;3;Sering dipinjam
Bahasa indonesia untuk perguruan tinggi;2197,5;4;Sering dipinjam
Eyd Ejaan Bahasa Indonesia Yang disempurnakan terbaru Untuk SMP,SMA, Mahasisw & Umum;523;1;Jarang dipinjam
Bahasa indonesia untuk perguruan tinggi;2197,1;1;Jarang dipinjam
LINGUISTIK;42249;2;Jarang dipinjam
LINGUISTIK;42030;1;Jarang dipinjam
Bahasa indonesia untuk perguruan tinggi;103,21;1;Jarang dipinjam
LINGUISTIK;33355;1;Jarang dipinjam
Bahasa indonesia untuk perguruan tinggi;41458;1;Jarang dipinjam
Bahasa indonesia untuk perguruan tinggi;2197,3;1;Jarang dipinjam
1 jam mahir menguasai grammar;18002;1;Jarang dipinjam
30 HARI KUASAI BAHASA INGGRIS;37538;1;Jarang dipinjam
INTERMEDIATE GRAMMAR PE1106;17663;1;Jarang dipinjam
ANALISIS TEKS MEDIA;39793;3;Sering dipinjam
Analisis Wacana teori & metode;1098PB3,1;3;Sering dipinjam
metodologi penelitian sastra;30019;6;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;31179;8;Sering dipinjam
Pendidikan karakter konsep dan implementasi;50713;6;Sering dipinjam
Pengantar kajian sastra;1650,1;5;Sering dipinjam
Sastra kita, kritik, dan lokalitas;20232;4;Sering dipinjam
Teori kesusastraan;17290;4;Sering dipinjam
Love yourself menjadi biasa-biasa itu tidak apa-apa;49939;3;Sering dipinjam
cara mudah menguasai toefl;21096;1;Jarang dipinjam
Pembelajaran literasi;37425;1;Jarang dipinjam
Belajar dan pembelajaran sains;37660;2;Jarang dipinjam
Mahika;49920;8;Sering dipinjam
"Stop menjadi manusia
! mainstream";49930;2;Jarang dipinjam
Semantik leksikal;23190;4;Sering dipinjam
Linguistik umum;1653,2;3;Sering dipinjam
PENGANTAR SEMANTIK BAHASA INDONESIA;1175,3,1;4;Sering dipinjam
68 MODEL PEMBELAJARAN INOVATIF DALAM KURIKULUM 2013;37873;2;Jarang dipinjam
Cliffs toefl preparation guide;30855;1;Jarang dipinjam
Model-model pembelajaran inovatif;32535;6;Sering dipinjam
Analisis Wacana teori & metode;1098PB3,1;3;Sering dipinjam
ANALISIS TEKS MEDIA;39793;3;Sering dipinjam
Sejarah pendidikan Islam;420sm3;1;Jarang dipinjam
Al-islam pendidikan agama islam;2300,3;2;Jarang dipinjam
Sejarah Pendidikan Islam;15,515,2;1;Jarang dipinjam
METODOLOGI PENELITIAN KUALITATIF;48190;5;Sering dipinjam
Quantum learning;42426;3;Sering dipinjam
Pendidikan karakter konsep dan implementasi;50713;6;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;31179;8;Sering dipinjam
metodologi penelitian sastra;30019;6;Sering dipinjam
Teori kesusastraan;17290;4;Sering dipinjam
Sastra kita, kritik, dan lokalitas;20232;4;Sering dipinjam
Pengantar kajian sastra;1650,1;5;Sering dipinjam
Model-model pembelajaran inovatif;32535;6;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;17558;8;Sering dipinjam
Metode penelitian kuantitatif kualitatif dan R&D Best seller;45313;5;Sering dipinjam
Janji;49892;4;Sering dipinjam
A thousand stars for nathan;49350;4;Sering dipinjam
Analisis Wacana teori & metode;1098PB3,1;3;Sering dipinjam
ANALISIS TEKS MEDIA;39793;3;Sering dipinjam
Linguistik umum;1653,2;3;Sering dipinjam
PENGANTAR SEMANTIK BAHASA INDONESIA;1175,3,1;4;Sering dipinjam
Semantik leksikal;23190;4;Sering dipinjam
Metodologi penelitian kualitatif;20559;3;Sering dipinjam
ANTARA ISLAM DAN BARAT;50431;1;Jarang dipinjam
Jati diri Wanita Muslimah;jd0001;1;Jarang dipinjam
APLIKASI ANALISIS MULTIVARIATE DENGAN PROGRAM IBM SPSS 25 ED,9;37067;3;Sering dipinjam
Nightmores for death cant be stopped until you die;22278;2;Jarang dipinjam
hukum bisnis prinsip dan pelaksanaannya diindonesia;15,423,1;1;Jarang dipinjam
Hukum Bisnis untuk Perusahaan;15,424,1;1;Jarang dipinjam
Pendidikan agama islam;40463;1;Jarang dipinjam
Pendidikan agama islam untuk perguruan tinggi;30727;2;Jarang dipinjam
PENDIDIKAN AGAMA ISLAM BERBASIS KARAKTER;15,460,1;1;Jarang dipinjam
Gunung dan sungai dalam alquran;47727;1;Jarang dipinjam
MKDU Dasar-dasar pendidikan Agama Islam;27808;1;Jarang dipinjam
Pendidikan agama islam untuk perguruan tinggi;31070;1;Jarang dipinjam
Mengenal islam;47511;2;Jarang dipinjam
True islam;32323;1;Jarang dipinjam
Laut & Air Dalam Al- Quran;44726;1;Jarang dipinjam
Pendidikan agama islam;081sm3;1;Jarang dipinjam
TAFSIR TARBAWI;21965;1;Jarang dipinjam
Pendidikan agama islam;32661;1;Jarang dipinjam
Mengenal islam;47510;2;Jarang dipinjam
Al-islam pendidikan agama islam;2300,3;2;Jarang dipinjam
Dasar-dasar ilmu pendidikan islam;291sm3;1;Jarang dipinjam
ALAT ANALISIS DATA;44346;3;Sering dipinjam
Manajemen keuangan;2587,2;3;Sering dipinjam
Metode penelitian kuantitatif;20225;6;Sering dipinjam
Metodologi penelitian panduan lengkap penelitian dengan mudah;45363;2;Jarang dipinjam
Pendidikan agama islam untuk perguruan tinggi;30728;1;Jarang dipinjam
Pendidikan agama islam;20062;1;Jarang dipinjam
Pendidikan agama islam;40464;2;Jarang dipinjam
pengantar ilmu ekonomi makro;40178;6;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;40265;10;Sering dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42640;8;Sering dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42639;8;Sering dipinjam
Cara sehat investasi di pasar modal;50307;1;Jarang dipinjam
Tanggung Jawab Sosial Perusahaan;44991;1;Jarang dipinjam
Research methods for business metodologi penelitian untuk bisnis buku 2 ed,4;34440;1;Jarang dipinjam
Metodologi riset bisnis;18887;1;Jarang dipinjam
Metodologi penelitian;60381;1;Jarang dipinjam
Metodologi penelitian;50778;3;Sering dipinjam
Metodologi Penelitian Bisnis : Lengkap Dengan Teknik Pengolahan Data SPSS;44465;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;24440;3;Sering dipinjam
METODOLOGI PENELITIAN BISNIS UNTUK AKUNTANSI DAN MANAJEMEN;44100;1;Jarang dipinjam
Metodologi Penelitian Kuantitatif : Ekonomi, Sosiologi, Komunikasi, Administrasi, Pertanian dan Lainnya;45427;4;Sering dipinjam
Metode Penelitian Kuantitatif : Pengembangan Hipotesis dan Pengujiannya Menggunakan SmartPLS;45435;2;Jarang dipinjam
Metodologi penelitian panduan lengkap penelitian dengan mudah;45363;2;Jarang dipinjam
"METODOLOGI PENELITIAN KUALITATIF Untuk
Ilmu-Ilmu Sosial";40743;2;Jarang dipinjam
Metode penelitian kuantitatif dan kualitatif teori, penerapan dan riset nyata;49669;6;Sering dipinjam
Metodologi penelitian kualitatif membantu peneliti dan mahasiswa;49435;2;Jarang dipinjam
Omnibus law dan penerapannya di indonesia;49449;1;Jarang dipinjam
Perpajakan;38427;1;Jarang dipinjam
Hukum Agraria Kajian Komprehensif;15,422,1;1;Jarang dipinjam
ILMU PERUNDANG- UNDANGAN;588APBN3,1;1;Jarang dipinjam
Hukum agraria;26181;2;Jarang dipinjam
Hukum acara peradilan tata usaha;49984;1;Jarang dipinjam
Geografi politik;u0000631;1;Jarang dipinjam
Hukum administrasi negara;H004,1;1;Jarang dipinjam
HUKUM ADMINISTRASI NEGARA;37273;1;Jarang dipinjam
Hukum administrasi negara;H004;9;Sering dipinjam
HUKUM ADMINISTRASI NEGARA;45426;1;Jarang dipinjam
Hukum pajak;24195;1;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49751;1;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49748;2;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49749;1;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49752;3;Sering dipinjam
Politik global dalam teori dan praktik edisi 3;46945;1;Jarang dipinjam
Dinamika sistem politik indonesia;2572,1;2;Jarang dipinjam
KUHAP dan KUHP;15,9,2;1;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49746;2;Jarang dipinjam
KUHAP dan KUHP;49760;2;Jarang dipinjam
KUHAP dan KUHP;49755;2;Jarang dipinjam
The mind of the leader;45722;1;Jarang dipinjam
HUKUM TATA NEGARA INDONESIA;24490;1;Jarang dipinjam
Hukum tata negara Indonesia pemikiran dan pandangan;2007,1;1;Jarang dipinjam
3 Kitab undang- undang hukum KUHPER KUHP KUHAP;49660;3;Sering dipinjam
KUHAP dan KUHP;15,223,2;1;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49747;1;Jarang dipinjam
KUHP (Kitab Undang- Undang Hukum Pidana);15,225,1;1;Jarang dipinjam
KUHP (Kitab Undang- Undang Hukum Pidana);15,225,2;1;Jarang dipinjam
KUHP KITAB UNDANG-UNDANG HUKUM PIDANA;37241;2;Jarang dipinjam
KUHAP dan KUHP;49756;2;Jarang dipinjam
Pengantar Hukum Pajak;15,201,2;1;Jarang dipinjam
Hukum pajak;24194;2;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49750;3;Sering dipinjam
SOSIOLOGI POLITIK;35335;1;Jarang dipinjam
Teori perilaku dan budaya organisasi;2871,1;2;Jarang dipinjam
Hukum pajak;21047;1;Jarang dipinjam
PEMBARUAN HUKUM PAJAK;15,74,2;1;Jarang dipinjam
Metode penelitian administrasi publik;17218;1;Jarang dipinjam
Harga sebuah percaya;49783;5;Sering dipinjam
Dasar-Dasar Metodologi Penelitian;1689,9;1;Jarang dipinjam
FIND YOUR WHY;37461;2;Jarang dipinjam
On emotional intelligence;45643;1;Jarang dipinjam
DASAR-DASAR HUBUNGAN INTERNASIONAL;25801;1;Jarang dipinjam
Masalah sosial dan upaya pemecahannya;25343;1;Jarang dipinjam
to be a great leader;13,099,1;1;Jarang dipinjam
Politik muka dua;29180;1;Jarang dipinjam
DASAR-DASAR HUBUNGAN INTERNASIONAL;25802;1;Jarang dipinjam
Fisika untuk sains dan teknik jilid 2;45220;1;Jarang dipinjam
Kepemimpinan;2487,1;1;Jarang dipinjam
Dinamika Kelompok: Latihan Kepemimpinan Pendidikan;15,608,2;1;Jarang dipinjam
Perilalku organisasi;50717;1;Jarang dipinjam
UNDANG UNDANG TENTANG 4 HUKUM REPUBLIK INDONESIA;320;1;Jarang dipinjam
Pengantar Sosiologi Politik;1640,1;2;Jarang dipinjam
Dasar-dasar Ilmu Organisasi;13192;2;Jarang dipinjam
Filsafat untuk kehidupan mengembangkan akal sehat dan nurani untuk kehidupan;50765;1;Jarang dipinjam
Diplomasi perbatasan konsep dan praktik di Indonesia;46861;1;Jarang dipinjam
Pengantar Sosiologi Politik;1640,1;2;Jarang dipinjam
Dasar-dasar Ilmu Organisasi;13192;2;Jarang dipinjam
Pemimpin dan kepemimpinan;42697;1;Jarang dipinjam
Teori perilaku dan budaya organisasi;2871,1;2;Jarang dipinjam
PENGANTAR HUKUM KETENAGAKERJAAN;15,105,1;1;Jarang dipinjam
Perpajakan edisi terbaru 2018;37208;1;Jarang dipinjam
Hukum Acara Perdata Lengkap & Praktis;15,282,1;1;Jarang dipinjam
Hukum Acara Pidana: Suatu Pengantar;15,421,11;1;Jarang dipinjam
Hukum agraria kajian komprehensif;25148;1;Jarang dipinjam
MANAJEMEN SUMBER DAYA MANUSIA;B002281;1;Jarang dipinjam
Manajemen sumber daya manusia;1731,1;1;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;13.057.018;1;Jarang dipinjam
Akuntansi manajerial ed,14 bku 1;42286;1;Jarang dipinjam
Managerial accounting;42418;1;Jarang dipinjam
Manajemen Investasi Pendekatan Teknikal dan Fundamental untuk analisis saham;U00400264;1;Jarang dipinjam
Manajemen investasi teori dan soal jawab;18915;1;Jarang dipinjam
Logika algoritma & desain pemrograman: berbasis C-Chil;48606;1;Jarang dipinjam
Algoritma dan Pemograman dalam bahasa pascal dan C edisi revisi;43266;1;Jarang dipinjam
Konsep dasar algoritma pemrograman;48574;1;Jarang dipinjam
Matematika dasar;50801;1;Jarang dipinjam
Mathematics undercover;47169;1;Jarang dipinjam
KURSUS SINGKAT PERCAKAPAN BAHASA INGGRIS;48037;1;Jarang dipinjam
"Pocket Book Grammar
: Rahasia Menguasai Bahasa Inggris Dari Nol";43930;1;Jarang dipinjam
Practice exercises for the toefl;21212;1;Jarang dipinjam
Akuntansi pajak;42307;1;Jarang dipinjam
Akuntansi Manajerial Accounting Managerial;2665,1;1;Jarang dipinjam
AKUNTANSI MANAJEMEN;41196;1;Jarang dipinjam
Akuntansi manajemen edisi 3;436011;1;Jarang dipinjam
Aljabar dan Kalkulus;46756;1;Jarang dipinjam
PRINSIP-PRINSIP RISET OPERASI;949THP3,2;1;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;41924;1;Jarang dipinjam
HBR'S 10 must reads on leadership;45966;1;Jarang dipinjam
Jagad melayu dalam lintasan budaya di Riau;42766;1;Jarang dipinjam
METODOLOGI PENELITIAN KUALITATIF;48191;7;Sering dipinjam
Pengantar Ilmu antropologi;39275;1;Jarang dipinjam
Pengantar bisnis;26314;4;Sering dipinjam
Akuntansi Manajemen;44431;2;Jarang dipinjam
Hukum tata negara sejarah, teori, dan dinamika ketatanegaraan di Indonesia;49601;2;Jarang dipinjam
Hukum tata negara;48852;2;Jarang dipinjam
Hukum tata negara indonesia;17682;3;Sering dipinjam
Hukum tata negara;17682;3;Sering dipinjam
