Judul;Nomor Klasifikasi;Nama Klasifikasi;Kode Eksemplar
Aplikasi teknologi akustik dan satelit oseanografi untuk pemanfaatan sumber daya perikanan;338;Ilmu-ilmu sosial;<70771><70772>
Pedoman penyelenggaraan kearsipan di perguruan tinggi;0;Karya umum;<70769><70770>
E-business strategi, model dan penerapannya;650;Ilmu-ilmu terapan;<70707><70708>
Kimia asam-basa berbasis kontektual;540;Ilmu-ilmu murni;<70705><70706>
Belajar mengajar matematika;371;Ilmu-ilmu sosial;<70703><70704>
Potensi tumbuhan surian (toona sinensis);571;Ilmu-ilmu murni;<70701><70702>
Ayo mengenal nama-nama ilmiah makluk hidup;570;Ilmu-ilmu murni;<70847><70848>
Konsep dasar elektronika daya;621;Ilmu-ilmu terapan;<70845><70846>
Penyetaraan vetikal dengan pendekatan klasik dan item response theory;370;Ilmu-ilmu sosial;<70843><70844>
Analisis mengenai dampak lingkungan (AMDAL);577;Ilmu-ilmu murni;<70841><70842>
Buku ajar sosiolinguistik;306;Ilmu-ilmu sosial;<70699><70700>
Pendidik inspiratif;371;Ilmu-ilmu sosial;<70839><70840>
Ilmu hukum adat;341;Ilmu-ilmu sosial;<70837><70838>
Logika dasar penalaran;160;Filsafat;<70835><70836>
Manajemen kewirausahaan;338;Ilmu-ilmu sosial;<70833><70834>
Model pengelolaan arsip;20;Karya umum;<70831><70832>
Hukum zakat peran BAZBAS dalam pengelolaan zakat;298;Agama;<70829><70830>
Modernisasi e-module dalam kegiatan pembelajaran;371;Ilmu-ilmu sosial;<70823><70824>
Perubahan iklim dan pemanasan global;522;Ilmu-ilmu murni;<70827><70828>
Eksperimen kimia sederhana panduan praktis kimia untuk guru dan siswa;541;Ilmu-ilmu murni;<70825><70826>
Berkubang vs menuntaskan masalah :;158;Filsafat;<70697><70698>
Purchase order dalam perspektif hukum kontrak;346;Ilmu-ilmu sosial;<70695><70696>
Tindakan konservasi menyelamatkan produktivitas lahan dan ketersediaan air dalam tanah;631;Ilmu-ilmu terapan;<70693><70694>
Disaster management;613;Ilmu-ilmu terapan;<70651><70652>
English for digital marketing;659;Ilmu-ilmu terapan;<70649><70650>
Pengenalan beberapa penerapan model stokastik;510;Ilmu-ilmu murni;<70725><70726>
Kepemimpinan dan berfikir sistem;303;Ilmu-ilmu sosial;<70727><70728>
Perencanaan dan evaluasi kesehatan;610;Ilmu-ilmu terapan;<70721><70722>
Komunikasi robot dan PLC;620;Ilmu-ilmu terapan;<70723><70724>
Deskripsi genotipe jarak pagar (jatropha curcas linn) hasil persilangan;630;Ilmu-ilmu terapan;<70821><70822>
Buku ajar kelainan tiroid;611;Ilmu-ilmu terapan;<70819><70820>
Dinamika kesejahteraan dan pekerjaan sosial;362;Ilmu-ilmu sosial;<70817><70818>
Toleransi generasi muda dalam demokrasi pancasila;327;Ilmu-ilmu sosial;<70815><70816>
Bahan ajar metode numerik;518;Ilmu-ilmu murni;<70813><70814>
Konsep dan penerapan manajemen risiko operasional : RCSA-KRI-LED;330;Ilmu-ilmu sosial;<70811><70812>
Psikopedagogik islam dimensi baru teori pendidikan;298;Agama;<70709><70710>
Regional politics of southeast asia contemporary dynamism and revisiting indonesia's role;352;Ilmu-ilmu sosial;<70717><70718><70719><70720>
Buku referensi remaja sehat bebas anemia;616;Ilmu-ilmu terapan;<70711><70712>
City Branding kota kreatif desain : Singapore & Bangkok;711;Kesenian, hiburan, dan olahraga;<70809><70810>
A guide to survive in the corona virus pandemic and the society 5.0 era;614;Ilmu-ilmu terapan;<70715><70716>
Polimer termoset;622;Ilmu-ilmu terapan;<70713><70714>
Analisis farmasi dengan spektroskopi UV-VIS dan kemometrika;615;Ilmu-ilmu terapan;<70547><70548>
Desain produk inovatif & inkubasi bisnis kompetitif;659;Ilmu-ilmu terapan;<70543><70544>
Copywriting retorika, iklan dan storytelling, teori dan teknik menulis naskah iklan;808;Kesusastraan;<70541><70542>
Seluk beluk mikroalga dan botryococcus braunii;575;Ilmu-ilmu murni;<70539><70540>
Kellimpahan mollusca padanglampe;594;Ilmu-ilmu murni;<70789><70790>
Pengolahan citra medis filter, enchancement, segmentasi, kuantifikasi, registration, visualization, compression;5;Karya umum;<70537><70538>
Pembelajaran matematika dengan STEM (science, technology, engineering, mathematic);510;Ilmu-ilmu murni;<70535><70536>
Pejuang mimpi;920;Geografi dan sejarah;<70531><70532>
5 Analisa berpikir sistematis;658;Ilmu-ilmu terapan;<70533><70534>
Kimia analitik lanjut;543;Ilmu-ilmu murni;<70529><70530>
Stat-of-the-art treatment of heart failure;616;Ilmu-ilmu terapan;<70673><70674><70675><70676><70677><70678><70679><70680><70681><70682><70683><70684><70685><70686><70687><70688><70689><70690><70691><70692>
State-of the-art- treatment of coronary heart disease;616;Ilmu-ilmu terapan;<70657><70658><70659><70660><70661><70662><70663><70664><70665><70666><70667><70668><70669><70670><70671><70672>
Assessment for learning (AFL) dalam pendidikan matematika;371;Ilmu-ilmu sosial;<70244><70788>
Penetalaksanaan terpadu penyakit tidak menular;362;Ilmu-ilmu sosial;<70252><70781>
Riau istimewa ! pusparagam cerpen, puisi, esai;808;Kesusastraan;<70653><70654><70655><70656>
Who wants to be a teacher ? meyiapkan guru profesional di era global society 5.0;371;Ilmu-ilmu sosial;<70645><70646>
Adsorpsi arang aktif (kimia permukaan-kimia zat padat-kimia katalis);541;Ilmu-ilmu murni;<70767><70768>
Komunikasi politik di era digital;320;Ilmu-ilmu sosial;<70765><70766>
Sains material : struktur, sifat, sintestis dan aplikasinya;500;Ilmu-ilmu murni;<70763><70764>
Desain dan inovasi peningkatan kualitas pelayanan publik berbasis pelanggan;351;Ilmu-ilmu sosial;<70643><70644>
Di balik putaran uang APBN;351;Ilmu-ilmu sosial;<70641><70642>
Penanganan virus HIV/AIDS;617;Ilmu-ilmu terapan;<70761><70762>
Buku monograf pentingnya memahami bimbingan dan konseling bagi guru mata pelajaran;371;Ilmu-ilmu sosial;<70759><70760>
Antioksidan alami sembung (blumea balsamifera) sebagai anthiperkolesterolemia;610;Ilmu-ilmu terapan;<70757><70758>
Dasar-dasar menulis karya tulis ilmiah;1;Karya umum;<70755><70756>
Percarutan  geopolitik kawasan laut china selatan;320;Ilmu-ilmu sosial;<70753><70754>
Testing dan implementasi sistem dengan pengujian object-oriented;621;Ilmu-ilmu terapan;<70639><70640>
Konstruksi pembentukan peraturan daerah dalam tatanan negara hukum yang demokratis;348;Ilmu-ilmu sosial;<70751><70752>
Buku referensi intellectual capital;658;Ilmu-ilmu terapan;<70749><70750>
Tujuh karakter dari tujuh kebiasan orang efektif;155;Filsafat;<70637><70638>
Pemasaran kreatif untuk segala bisnis;659;Ilmu-ilmu terapan;<70635><70636>
Pelayanan sektor publik di asia dan eropa;351;Ilmu-ilmu sosial;<70633><70634>
Neraca energi tanpa reaksi kimia : konsep dan aplikasi industri;660;Ilmu-ilmu terapan;<70631><70632>
Serentak bergerak wujudkan merdeka belajar;375;Ilmu-ilmu sosial;<70629><70630>
Cross-cultural understanding coursebook;306;Ilmu-ilmu sosial;<70527><70528>
Toksikologi lingkungan;616;Ilmu-ilmu terapan;<70525><70526>
Analisis kuantitatif obat;615;Ilmu-ilmu terapan;<70523><70524>
Analisis risiko kesehatan lingkungan;364;Ilmu-ilmu sosial;<70521><70522>
Bagaimana cara menggunakan tenses dalam menulis  jurnal internasional;410;Bahasa;<70647><70648>
Mengenal kerajaan Berau di daerah pesisir timur Kalimantan;819;Kesusastraan;<70519><70520>
Manajemen pembiayaan pendidikan;374;Ilmu-ilmu sosial;<70517><70518>
Daring yang tidak garing;370;Ilmu-ilmu sosial;<70515><70516>
Energi terbarukan konsep dasar menuju kemandirian energi;551;Ilmu-ilmu murni;<70513><70514>
Drug related problems identifikasi, faktor risiko, dan pencegahannya;362;Ilmu-ilmu sosial;<70511><70512>
Dinamika pengaturan pengadaan tanah di indonesia dari;333;Ilmu-ilmu sosial;<70509><70510>
Pengolahan citra dan suara;7;Karya umum;<48559><48560><70389><70390>
Negotiation of meaning language awareness and corrective feedback;159;Filsafat;<70387><70388>
Memahami bunyi puisi teori dan analisis;811;Kesusastraan;<70381><70386>
Sukses ide berwirausaha tuangkan ide dan konsep, lakukan sekarang juga;338;Ilmu-ilmu sosial;<70379><70380>
Bumi Karema;391;Ilmu-ilmu sosial;<70376>
Tradisi togak tonggol di langgam, pelalawan;391;Ilmu-ilmu sosial;<70375>
Buku panduan tari persembahan adat melayu kepulauan riau;391;Ilmu-ilmu sosial;<70374>
Buku panduan istiadat penganugerahan gelar datu setia amanah kepada;391;Ilmu-ilmu sosial;<70373>
Kepemimpinan pendidikan;303;Ilmu-ilmu sosial;<70627><70628>
Strategi pembelajaran atletik;796;Kesenian, hiburan, dan olahraga;<70625><70626>
Mengenal dengan cepat embriogenesis ikan binisi, oryzias celebensis untuk studi ekotoksikologi;572;Ilmu-ilmu murni;<70623><70624>
Aplikasi teknik elektro dan komputer  implementasi teknologi elektronika dan perangkat lunak bagi masyarakat 5.0;621;Ilmu-ilmu terapan;<70621><70622>
Adaptive power charge menggunakan ANN-PID Controller;621;Ilmu-ilmu terapan;<70618><70619><70620>
Monograf pola rekonsiliasi konflik nelayan (sebuah fakta pertikaian di laut );639;Ilmu-ilmu terapan;<70616><70617>
Nelayan pulau kecil dan kapitalisme;639;Ilmu-ilmu terapan;<70614><70615>
Aksi preventif dan promotif melawan covid 19 book chapter;617;Ilmu-ilmu terapan;<70613>
Membangun perilaku masyarakat berjiwa pancasila;320;Ilmu-ilmu sosial;<70611><70612>
Book chapter gender di pesisir;305;Ilmu-ilmu sosial;<70610>
Fisika teknik;621;Ilmu-ilmu terapan;<70609>
Teknologi pemasaran digital dan manajerial kewirausahaan;658;Ilmu-ilmu terapan;<70607><70608>
Tantangan pengembangan sumberdaya lahan rawa dan gambut;639;Ilmu-ilmu terapan;<70605><70606>
Social force model untuk robot sepak bola berdoa;621;Ilmu-ilmu terapan;<70603><70604>
Sistem komunikasi digital teori, contoh soal dan aplikasi;621;Ilmu-ilmu terapan;<70601><70602>
Mewujudkan good governance (tata kelola perusahaan yang baik) di era industri 4.0 dan masyarakat 5.0;659;Ilmu-ilmu terapan;<70599><70600>
Dimensi-dimensi manusia dalam politik dan pembangunan (kumpulan tulisan dari ragam perspektif);320;Ilmu-ilmu sosial;<70597><70598>
Teknologi vector control paa electric city car dengan motor induksi 3 phasa sebagai penggerak;621;Ilmu-ilmu terapan;<70595><70596>
Viktimologi dan sistem peradilan pidana;345;Ilmu-ilmu sosial;<70593><70594>
Iventarisasi data dan dokumentasi kebudayaan provinsi kepulauan riau tahun 2020;306;Ilmu-ilmu sosial;<70371><70372>
Desain pembangunan olahraga nasional (perspektif sosial -budaya, politik, kebijakan & Hukum );790;Kesenian, hiburan, dan olahraga;<70592>
Etika profesi guru;371;Ilmu-ilmu sosial;<70411><70412>
Perilaku dalam deteksi dini kanker serviks;617;Ilmu-ilmu terapan;<70427><70428>
Khazanah manuskrip Riau-Lingga Abad 19 pemerian tiga puluh manuskrip melayu warisan zaman kerajaan Riau-Lingga;91;Karya umum;<70591>
Raja khalid hitam (1860-an-1914);920;Geografi dan sejarah;<70589>
Syair perkawinan kapitan tik sing (syair perkawinan anak kapitan Cina Tanjungpinang pada abad 18 );899;Kesusastraan;<70590>
Teori dan teknik penyelesaian kasus rangkaian listrik dengan matlab dan simulink II;621;Ilmu-ilmu terapan;<70588>
Community business matching model : pendekatan inovatif terhadap pengembangan public private partnership;650;Ilmu-ilmu terapan;<70587>
Knowledge broker perspektif islam, pancasila, akal pikiran neurosanins;370;Ilmu-ilmu sosial;<70585><70586>
Buku ajar blok Pengantar penyakit infeksi penunjang diagnostik dan terapi;617;Ilmu-ilmu terapan;<70583><70584>
Untukmu seorang wanita for you a woman;818;Kesusastraan;<70421><70422>
Catatan kisah hidupku sabar dan setia dalam perjuangan demi mencapai cita- cita;924;Geografi dan sejarah;<70419><70420>
Hypno-NLP dalam proses belajar mengajar;154;Filsafat;<70417><70418>
Strategi pembelajaran pendidikan jasmani;371;Ilmu-ilmu sosial;<70416><70425>
Theoretical approaches to TEFL;425;Bahasa;<70414><70415>
Etika dan hukum kesehatan;344;Ilmu-ilmu sosial;<70413>
Ormas dan partai politik islam di indonesia;298;Agama;<70426>
Analisis efisiensi fasilitas kesehatan aplikasi menggunakan software;362;Ilmu-ilmu sosial;<70487><70488>
Analisis farmasi dengan kromatografi cair;615;Ilmu-ilmu terapan;<70485><70486>
clinical decision making series Dermatologi dan venereologi;617;Ilmu-ilmu terapan;<70483><70484>
Buku ajar Age-related macular degeneration : degenerasi makula terkait usia;610;Ilmu-ilmu terapan;<70481><70482>
Erosi dan konservasi lahan;334;Ilmu-ilmu sosial;<70479><70480>
Komunikasi politik sebuah agenda politik, untuk siapa, menyatakan apa di era kekinian;320;Ilmu-ilmu sosial;<70477><70478>
Aksiologi sebagai dasar pembinaan kepribadian bangsa dan negara indonesia;122;Filsafat;<70475><70476>
Demokrasi ekonomi di pasar rakyat;330;Ilmu-ilmu sosial;<70473><70474>
Dari sampah plastik menjadi bensin & solar;548;Ilmu-ilmu murni;<70471><70472>
E- Governance;320;Ilmu-ilmu sosial;<70469><70470>
Korupsi merusak perekonomian dan moral bangsa;364;Ilmu-ilmu sosial;<70505><70506>
Ya beginilah hidup jalani saja menerima kenyataan, menumbuhkan harapan menata masa depan;155;Filsafat;<70507><70508>
Dekonstruksi pemahaman pancasila menggali jati diri hukum indonesia;340;Ilmu-ilmu sosial;<70503><70504>
Analisis dan perancangan fondasi I ed.4;720;Kesenian, hiburan, dan olahraga;<70501><70502>
Fortifikasi pangan berbasis sumberdaya nusantara;364;Ilmu-ilmu sosial;<70497><70498>
Fisiologi sistem reproduksi pria;612;Ilmu-ilmu terapan;<70495><70496>
Farmakologi molekuler target aksi obat dan mekanisme molekuler;615;Ilmu-ilmu terapan;<70493><70494>
Analisis obat dalam sediaan farmasi;615;Ilmu-ilmu terapan;<70213><70492>
Teori belajar dan model pembelajaran inovatif perspektif teori dan praktis;371;Ilmu-ilmu sosial;<70489><70490><70491>
Di laut kita (belum) jaya kajian evaluatif diplomasi maritim indonesia;623;Ilmu-ilmu terapan;<70369><70370>
Brief history pemanduan kapal di indonesia kajian historis dengan analisis normatif;623;Ilmu-ilmu terapan;<70367><70368>
Mengolah limbah minyak jelantah menjadi produk kewirausahaan;660;Ilmu-ilmu terapan;<70365><70366>
Dinamika keamanan kawasan asia timur : perspektif hubungan internasional;327;Ilmu-ilmu sosial;<70363><70364>
Memahami dahsyatnya pandemi covid-19 terhadap perekonomian global;337;Ilmu-ilmu sosial;<70360><70361>
Mempersiapkan diri menuju profesi jurnalis bagi pemula;70;Karya umum;<70358><70359>
Safety expert ahli keselamatan dan kesehatan kerja profesional sukses;614;Ilmu-ilmu terapan;<70356><70357>
ASN Berakhlak bangga melayani bangsa;353;Ilmu-ilmu sosial;<70354><70355>
Writing for general communication;421;Bahasa;<70351><70352><70353>
Manajemen strategi di era revolusi industri 4.0;658;Ilmu-ilmu terapan;<70362>
Kompleksitas covid-19 negara, pangan & kesehatan;617;Ilmu-ilmu terapan;<70445><70446>
50 Years pf amity and enmity the politics of ASEAN Cooperation;352;Ilmu-ilmu sosial;<70443><70444>
Peran bank syariah dalam pemulihan ekonomi nasional;297;Agama;<70441><70442>
Indonesia's contribution to macro sustainability;361;Ilmu-ilmu sosial;<70439><70440>
Migrasi dan perbatasan di indonesia studi aspek multidimensi;305;Ilmu-ilmu sosial;<70437><70438>
Hukum korporasi di indonesia dalam pendekatan GRC terintegrasi (governance, risk, compliance);346;Ilmu-ilmu sosial;<70435><70436>
Modul ajar pengelolaan sampah;364;Ilmu-ilmu sosial;<70433><70434>
Tentang kematian;813;Kesusastraan;<70431><70432>
Limbah infeksius rumah tangga saat pandemi covid-19;364;Ilmu-ilmu sosial;<70429><70430>
Karbon Aktif : Perpanjangan masa pakai minyak goreng;547;Ilmu-ilmu murni;<70581><70582>
Hukum perlindungan anak dan perempuan di indonesia;344;Ilmu-ilmu sosial;<70579><70580>
Fisiologi hewan coba (teori dan implementasi);571;Ilmu-ilmu murni;<70577><70578>
Diskursus soal islam, politik dan hubungan internasional;297;Agama;<70575><70576>
Iklim organisasi : perspektif psikologi;100;Filsafat;<70573><70574>
Kelembagaan pemerintahan negara dalam kajian hukum tata negara islam;320;Ilmu-ilmu sosial;<70571><70572>
Monitoring & evaluasi kebijakan publik;351;Ilmu-ilmu sosial;<70569><70570>
Mengenal karakter molekuler dan imunogenesitas flagella salmonella typhi penyebab demam tifoid;610;Ilmu-ilmu terapan;<70567><70568>
Transfer pembelajaran upaya meningkatkan manfaat pelatihan;371;Ilmu-ilmu sosial;<70565><70566>
Teknologi pegar untuk penanggulangan erosi dan abrasi pantai;620;Ilmu-ilmu terapan;<70562><70563><70564>
Demi bahasa bermanfaat dan bermartabat;400;Bahasa;<70458><70561>
Inquiry dalam pembelajaran sistem gerak dan pencernaan manusia;371;Ilmu-ilmu sosial;<70558><70559><70560>
Buku saku desinfektan;613;Ilmu-ilmu terapan;<70555><70556><70557>
Manajemen peningkatan mutu pembelajaran melalui pemberdayaan fungsi media pembelaran;371;Ilmu-ilmu sosial;<70553><70554>
Penerapan model pembelajaran berdiferensiasi;371;Ilmu-ilmu sosial;<70551><70552>
Monograf bio-oil berbasis biomassa;548;Ilmu-ilmu murni;<70549><70550>
Dasar-dasar aljbar linear dan penggunaannya dalam berbagai bidang;512;Ilmu-ilmu murni;<46737><60554><70545><70546>
Secercah cahaya di tengah gelapan;813;Kesusastraan;<70447>
Akuntansi keperilakuan;657;Ilmu-ilmu terapan;<50718><60923><70116><70499><70500>
FARMAKOLOGI MOLEKULER;615;Ilmu-ilmu terapan;<25648><25649><25650><25651><24903><25311><25312>
Isu-isu khilafiyah dalam mazhab ahlusunnah sebuah tinjauan kritis;298;Agama;<70449><70450>
Ekonomi pembangunan;340;Ilmu-ilmu sosial;<70451><70452>
Pemanfaatan black soldier fly (BSP) dalam pengelolaan;577;Ilmu-ilmu murni;<70453><70454>
Pendekatan scientific berbantuan geogebra untuk meningkatkan mathematical problem solving;519;Ilmu-ilmu murni;<70455><70456><70457>
Pelacakan otomatis pergerakan rongga jantung menggunakan optical flow;611;Ilmu-ilmu terapan;<70459><70460>
Pembangunan pulau-pulau kecil terluar indonesia untuk kesejahteraan dan ketahanan nasional;362;Ilmu-ilmu sosial;<70461><70462>
"Islamnya asia tenggara ; analisis perubahan sosial, budaya, ekonomi masyarakat,";297;Agama;<70463><70464>
Narashit;813;Kesusastraan;<70465><70466>
Developing mobile english application as teaching media;371;Ilmu-ilmu sosial;<70467><70468>
Indonesia era disrupsi utak atik politik negara di era disrupsi dan pandemi;323;Ilmu-ilmu sosial;<49648><49649><49795><49796><49799><49800><49922><60406><60608><60625><60970><60971><60972><60973><70032><70448>
Aspek hukum atas senjata api bela diri;356;Ilmu-ilmu sosial;<70423><70424>
Bulan sabit;813;Kesusastraan;<70409><70410>
Ekologi hewan;592;Ilmu-ilmu murni;<70407><70408>
Kinerja guru dari aspek partisipasi dan implementasi pengawasan;371;Ilmu-ilmu sosial;<70405><70406>
Q-Time kontribusi guru untuk pendidikan;370;Ilmu-ilmu sosial;<70403><70404>
The shortcut perawatan dasar kulit;610;Ilmu-ilmu terapan;<70401><70402>
Pemuda & teknologi refleksi keberadaan pemuda di era teknologi;155;Filsafat;<70399><70400>
Keracunan, alergi, dan intololeran makanan;363;Ilmu-ilmu sosial;<70397><70398>
Kiat menulis buku ilmiah;372;Ilmu-ilmu sosial;<48693><48694><70395><70396>
Metodologi penelitian PJOK;1;Karya umum;<70393><70394>
Pengendalian ekologis nyamuk anopheles;595;Ilmu-ilmu murni;<70391><70392>
Guru kaya raya bahagia masuk surga;371;Ilmu-ilmu sosial;<70335><70336>
Model proposal tesis kuantitatif berbasis manajemen era digital;1;Karya umum;<70331><70332>
Memahami perang dagang AS-China dan dampaknya;382;Ilmu-ilmu sosial;<70349><70350>
Alternatif penyelesaian sengketa dan arbitrase;342;Ilmu-ilmu sosial;<70345><70346>
Modul pelatihan community mental health nursing;611;Ilmu-ilmu terapan;<70347><70348>
Manusia, lingkungan, bergegas dalam berbagai perubahan dalam tinjuan etnoekologi;304;Ilmu-ilmu sosial;<48752><48753><70384><70385>
Bahasa mandari hubungan internasional;495;Bahasa;<70337><70338>
Model-model pembelajaran inovatif untuk mata pelajaran MIPA;371;Ilmu-ilmu sosial;<70339><70340>
Memahami contract drafting;346;Ilmu-ilmu sosial;<70341><70342>
Mini riset mikrobiologi terapan ed. 2;576;Ilmu-ilmu murni;<49326><49327><70382><70383>
14 Jam belajar cepat internet of things (iot) aplikasi sensor dan aktuator;4678;Geografi dan sejarah;<60534><70377><70378>
Dasar-dasar ilmu hukum;340;Ilmu-ilmu sosial;<70253><70254>
Kimia dasar I;546;Ilmu-ilmu murni;<70255><70256>
Matematika teknik dan aplikasinya;510;Ilmu-ilmu murni;<70269><70270>
Bahasa indonesia;499;Bahasa;<49867><70267><70268>
Pasar & instrumen keuangan islam;332;Ilmu-ilmu sosial;<70265><70266>
Kalkulus 1;515;Ilmu-ilmu murni;<70263><70264>
Hukum merek kolektif teori dan praktik di indonesia dan beberapa negara;346;Ilmu-ilmu sosial;<70261><70262>
Under the lantern : putting the disabled in indonesia under spotlight;340;Ilmu-ilmu sosial;<70259><70260>
Hukum pembuktian perkara perdata dalam sistem hukum indonesia;340;Ilmu-ilmu sosial;<70257><70258>
Guruku matahariku upaya menata pembelajaran menarik;371;Ilmu-ilmu sosial;<70313><70314>
Rama's story : gita hazard ! only god can judge me;813;Kesusastraan;<70311><70312>
Komunikasi antar budaya;301;Ilmu-ilmu sosial;<70317><70318>
Perjalanan mistik true story;813;Kesusastraan;<70315><70316>
Penduduk dan lingkungan hidup;304;Ilmu-ilmu sosial;<70329><70330>
Problem-based flipped classroom dalam pembelajaran sains;371;Ilmu-ilmu sosial;<70326><70327><70328>
